Investor_Id,hhi,year
10367-47,1,1991
11153-98,1,1991
11184-49,1,1991
11251-81,1,1991
11262-88,1,1991
11275-75,1,1991
63967-15,1,1991
10367-47,1,1992
11120-59,1,1992
11122-12,0.5,1992
11153-98,0.5,1992
11184-49,1,1992
11211-40,1,1992
11228-50,0.5,1992
11251-81,1,1992
11262-88,1,1992
11275-75,1,1992
63967-15,1,1992
10367-47,1,1993
11111-86,1,1993
11115-19,1,1993
11115-28,1,1993
11120-59,1,1993
11122-12,0.25,1993
11153-98,0.5555555555555556,1993
11162-08,1,1993
11173-60,1,1993
11179-99,1,1993
11184-49,0.5,1993
11191-96,1,1993
11192-68,1,1993
11207-89,1,1993
11211-40,0.28,1993
11228-50,0.25,1993
11237-95,1,1993
11251-81,0.5,1993
11262-88,1,1993
11265-13,1,1993
11275-75,1,1993
11295-73,0.3333333333333333,1993
11304-28,1,1993
11308-51,1,1993
11326-33,1,1993
40668-76,1,1993
44459-02,1,1993
51077-44,1,1993
51702-67,1,1993
51747-13,1,1993
63967-15,0.5,1993
10052-20,1,1994
10070-83,0.25,1994
10139-41,0.3333333333333333,1994
10181-17,1,1994
10367-47,1,1994
11111-86,1,1994
11114-11,1,1994
11115-19,1,1994
11115-28,0.5555555555555556,1994
11120-59,0.3333333333333333,1994
11121-85,0.5,1994
11122-12,0.25,1994
11124-28,1,1994
11127-88,1,1994
11137-87,1,1994
11139-04,1,1994
11151-91,1,1994
11153-98,0.375,1994
11161-36,1,1994
11162-08,1,1994
11169-91,1,1994
11173-60,1,1994
11177-20,1,1994
11179-99,1,1994
11184-49,0.5,1994
11184-67,1,1994
11190-70,1,1994
11191-96,0.3333333333333333,1994
11192-68,1,1994
11193-13,1,1994
11194-12,1,1994
11207-89,1,1994
11211-40,0.25,1994
11219-23,0.5,1994
11228-50,0.15625,1994
11237-95,1,1994
11251-81,0.375,1994
11258-83,1,1994
11262-52,1,1994
11262-88,1,1994
11263-42,1,1994
11263-51,1,1994
11265-13,1,1994
11275-75,1,1994
11277-37,1,1994
11281-06,1,1994
11291-32,1,1994
11295-73,0.2345679012345679,1994
11295-91,1,1994
11303-56,1,1994
11304-28,0.5,1994
11308-51,0.5555555555555556,1994
11317-42,1,1994
11318-77,1,1994
11322-28,1,1994
11325-43,0.5,1994
11326-33,0.375,1994
11335-42,1,1994
179240-41,1,1994
40668-76,1,1994
40849-84,1,1994
41699-53,1,1994
42259-87,1,1994
42871-51,1,1994
44459-02,1,1994
51050-17,1,1994
51077-44,1,1994
51090-58,1,1994
51131-71,1,1994
51516-10,1,1994
51702-67,1,1994
51747-13,1,1994
52369-93,1,1994
54334-18,1,1994
55893-43,1,1994
56386-27,1,1994
63967-15,0.5,1994
83336-23,1,1994
95663-89,1,1994
98783-56,1,1994
10052-20,1,1995
10070-83,0.14285714285714285,1995
10139-41,0.375,1995
10181-17,1,1995
10241-02,0.5,1995
10271-98,1,1995
10335-25,1,1995
10367-47,1,1995
10639-63,1,1995
11111-68,1,1995
11111-86,1,1995
11114-11,1,1995
11115-19,1,1995
11115-28,0.625,1995
11120-59,0.3333333333333333,1995
11121-85,0.5,1995
11122-12,0.25,1995
11122-48,1,1995
11124-28,1,1995
11127-25,1,1995
11127-88,1,1995
11129-59,1,1995
11132-20,0.5,1995
11135-62,1,1995
11135-71,1,1995
11137-87,1,1995
11138-68,1,1995
11139-04,1,1995
11151-91,1,1995
11153-98,0.375,1995
11161-36,1,1995
11162-08,1,1995
11166-58,1,1995
11168-92,1,1995
11169-91,1,1995
11172-43,0.3333333333333333,1995
11173-42,1,1995
11173-60,1,1995
11177-11,1,1995
11177-20,0.3333333333333333,1995
11179-99,1,1995
11181-43,1,1995
11184-40,1,1995
11184-49,0.5,1995
11184-67,1,1995
11190-70,1,1995
11191-96,0.25,1995
11192-41,1,1995
11192-68,1,1995
11193-13,1,1995
11194-12,0.5,1995
11207-89,1,1995
11208-79,0.5,1995
11211-40,0.22000000000000003,1995
11219-23,0.25,1995
11223-37,1,1995
