Investor_Id,first,IT,early,year
10052-20,0,1,1,1991
10068-04,0,0,0,1991
10070-83,0,1,0,1991
10077-85,1,1,0,1991
10133-20,0,0,1,1991
10134-73,1,0,1,1991
10135-81,1,1,0,1991
10139-41,0,1,0,1991
10181-17,0,1,1,1991
10241-02,1,0,1,1991
10367-47,1,0,1,1991
10401-94,0,0,1,1991
10420-66,1,0,1,1991
10446-40,1,0,0,1991
10754-47,1,0,0,1991
11106-82,0,0,1,1991
11110-33,0,0,1,1991
11110-42,1,0,0,1991
11115-28,1,1,0,1991
11118-79,0,1,1,1991
11120-59,0,0,1,1991
11121-76,1,0,1,1991
11121-85,1,1,0,1991
11122-12,1,0,1,1991
11122-30,1,1,1,1991
11123-38,0,1,0,1991
11124-46,0,1,0,1991
11127-79,1,0,1,1991
11127-88,0,0,0,1991
11132-38,0,0,0,1991
11135-71,1,0,1,1991
11142-73,1,1,1,1991
11145-52,1,0,1,1991
11153-98,1,0,1,1991
11162-08,0,0,1,1991
11166-58,0,1,1,1991
11168-92,1,0,1,1991
11169-91,1,0,1,1991
11177-02,0,1,1,1991
11177-20,0,0,0,1991
11179-99,0,0,1,1991
11184-40,0,0,0,1991
11184-49,1,0,1,1991
11184-67,0,1,0,1991
11191-96,1,0,0,1991
11193-13,1,1,0,1991
11194-12,0,0,1,1991
11201-59,1,0,0,1991
11201-77,1,0,1,1991
11207-89,1,0,0,1991
11208-79,1,0,1,1991
11211-40,1,1,1,1991
11211-94,0,1,1,1991
11212-21,0,1,0,1991
11219-23,1,1,1,1991
11220-04,1,0,1,1991
11220-22,1,0,0,1991
11224-99,1,0,1,1991
11228-32,1,0,0,1991
11228-50,0,0,1,1991
11234-26,1,0,1,1991
11237-14,1,1,0,1991
11237-50,0,1,0,1991
11237-95,1,0,1,1991
11242-18,0,0,1,1991
11242-54,0,1,0,1991
11248-21,0,1,1,1991
11251-81,1,0,1,1991
11256-76,1,1,0,1991
11258-83,1,0,0,1991
11259-64,1,1,0,1991
11261-35,1,1,1,1991
11262-52,1,0,1,1991
11262-88,1,0,1,1991
11275-75,0,1,1,1991
11278-45,0,0,0,1991
11281-24,1,1,0,1991
11295-73,1,1,1,1991
11295-91,1,1,1,1991
11304-28,1,1,0,1991
11308-51,0,0,1,1991
11308-69,1,1,1,1991
11312-29,1,0,1,1991
11318-77,0,0,0,1991
11326-33,1,0,1,1991
11327-32,1,0,1,1991
11328-13,1,1,0,1991
11328-49,1,1,1,1991
11330-02,0,1,0,1991
11337-76,0,0,0,1991
11339-74,1,1,1,1991
11605-96,0,0,0,1991
11852-02,1,0,1,1991
11867-23,0,0,0,1991
14146-57,1,0,1,1991
179240-41,0,0,1,1991
183990-70,1,1,0,1991
228542-59,1,0,1,1991
25121-17,1,0,0,1991
41016-79,1,0,1,1991
41762-98,1,1,0,1991
