Investor_Id,hhi,year,status,first,IT,early,age
11111-86,1,1993,0,0,0,1,0
11115-19,1,1993,0,1,0,1,0
11115-28,1,1993,0,1,1,0,0
11122-12,0.25,1993,0,1,0,1,0
11153-98,0.5555555555555556,1993,0,1,0,1,0
11162-08,1,1993,0,0,0,1,0
11173-60,1,1993,0,0,0,0,0
11179-99,1,1993,0,0,0,1,0
11184-49,0.5,1993,0,1,0,1,0
11191-96,1,1993,0,1,0,0,0
11192-68,1,1993,0,0,0,1,0
11207-89,1,1993,0,1,0,0,0
11211-40,0.28,1993,0,1,1,1,0
11228-50,0.25,1993,0.8159484126343631,1,0,1,0
11237-95,1,1993,0,1,0,1,0
11251-81,0.5,1993,0,1,0,1,0
11265-13,1,1993,0,1,0,1,0
11295-73,0.3333333333333333,1993,0,1,1,1,0
11304-28,1,1993,5.5076517852819515,0,0,0,0
11308-51,1,1993,0,0,0,1,0
11326-33,1,1993,0,1,0,1,0
40668-76,1,1993,0,0,0,1,0
44459-02,1,1993,0,1,0,1,0
51077-44,1,1993,0,1,0,1,0
51702-67,1,1993,0,1,0,1,0
51747-13,1,1993,0,1,0,1,0
63967-15,0.5,1993,0,0,1,1,0
10052-20,1,1994,4.250521732065617,1,1,1,0
10070-83,0.25,1994,5.3131521650820215,0,1,0,0
10139-41,0.3333333333333333,1994,5.3131521650820215,0,1,0,0
10181-17,1,1994,0,1,1,1,0
11114-11,1,1994,0,1,0,1,0
11115-28,0.5555555555555556,1994,0,1,0,0,1
11120-59,0.3333333333333333,1994,0,0,0,1,0
11121-85,0.5,1994,0,1,0,0,0
11124-28,1,1994,0,1,1,1,0
11127-88,1,1994,0,0,0,0,0
11137-87,1,1994,0,1,0,1,0
11139-04,1,1994,0,1,0,1,0
11151-91,1,1994,0,1,0,1,0
11153-98,0.375,1994,0,1,0,1,1
11161-36,1,1994,0,1,0,0,0
11162-08,1,1994,0,0,0,1,1
11169-91,1,1994,0,0,0,1,0
11173-60,1,1994,0,0,0,1,1
11177-20,1,1994,0,1,0,1,0
11184-67,1,1994,0,0,1,0,0
11190-70,1,1994,0,1,0,1,0
11191-96,0.3333333333333333,1994,0,1,0,1,1
11193-13,1,1994,0,1,1,1,0
11194-12,1,1994,0,0,0,0,0
11211-40,0.25,1994,0,1,0,1,1
11219-23,0.5,1994,0,1,1,1,0
11228-50,0.15625,1994,0.26565760825410106,0,0,1,1
11251-81,0.375,1994,0,1,0,1,1
11258-83,1,1994,0,0,1,0,0
11262-52,1,1994,0,1,0,1,0
11263-42,1,1994,0,1,0,1,0
11263-51,1,1994,0,1,0,1,0
11277-37,1,1994,0,1,0,1,0
11281-06,1,1994,0,0,1,0,0
11291-32,1,1994,0,1,0,1,0
11295-73,0.2345679012345679,1994,0,0,1,1,1
11295-91,1,1994,0,1,1,1,0
11303-56,1,1994,0,0,0,1,0
11304-28,0.5,1994,2.3245040722233843,0,0,0,1
11308-51,0.5555555555555556,1994,0,0,0,1,1
11317-42,1,1994,0,1,0,1,0
11318-77,1,1994,0,0,1,0,0
11322-28,1,1994,-0,0,0,1,0
11325-43,0.5,1994,0,0,0,1,0
11326-33,0.375,1994,0,1,0,1,1
11335-42,1,1994,0,0,1,0,0
179240-41,1,1994,0,0,0,1,0
40849-84,1,1994,0,1,0,1,0
41699-53,1,1994,0,1,0,1,0
42259-87,1,1994,0,NA,NA,NA,0
42871-51,1,1994,0,0,1,0,0
51050-17,1,1994,0,1,1,1,0
51090-58,1,1994,0,0,1,0,0
51131-71,1,1994,0,1,1,0,0
51516-10,1,1994,0,0,0,1,0
51747-13,1,1994,0,0,0,1,1
52369-93,1,1994,0,1,1,0,0
54334-18,1,1994,0,0,0,1,0
55893-43,1,1994,0,NA,NA,NA,0
56386-27,1,1994,0,NA,NA,NA,0
83336-23,1,1994,0,0,0,1,0
95663-89,1,1994,0,1,0,1,0
98783-56,1,1994,0,0,1,0,0
10070-83,0.14285714285714285,1995,6.515438006760741,0,1,1,1
10139-41,0.375,1995,6.515438006760741,0,1,1,1
10241-02,0.5,1995,0,1,0,1,0
10271-98,1,1995,0,0,1,0,0
10335-25,1,1995,0,1,1,1,0
10639-63,1,1995,1.3030876013521482,1,0,1,0
11111-68,1,1995,0,0,0,0,0
11114-11,1,1995,0,0,0,0,1
11115-28,0.625,1995,0,1,0,0,2
11122-48,1,1995,0,1,1,1,0
11127-25,1,1995,0,1,1,0,0
11129-59,1,1995,0,1,1,0,0
11132-20,0.5,1995,0,1,0,1,0
11135-62,1,1995,0,1,1,0,0
11135-71,1,1995,0,1,0,1,0
11138-68,1,1995,0,1,0,1,0
11162-08,1,1995,0,0,0,0,2
11166-58,1,1995,0,0,1,0,0
11168-92,1,1995,0,1,0,1,0
11172-43,0.3333333333333333,1995,0,1,0,1,0
11173-42,1,1995,0,1,0,1,0
11173-60,1,1995,0,0,0,0,2
11177-11,1,1995,0,0,0,0,0
11177-20,0.3333333333333333,1995,0,1,0,1,1
11181-43,1,1995,0,1,0,1,0
11184-40,1,1995,0,0,0,0,0
11191-96,0.25,1995,0,1,0,1,2
11192-41,1,1995,0,1,0,1,0
11194-12,0.5,1995,0,0,0,0,1
11208-79,0.5,1995,0,1,0,1,0
11211-40,0.22000000000000003,1995,0,1,1,1,2
11219-23,0.25,1995,0,0,1,1,1
11223-37,1,1995,0,1,1,1,0
11228-50,0.15000000000000002,1995,0.32577190033803705,0,0,1,2
11228-95,1,1995,0,0,0,0,0
11237-50,1,1995,0,0,1,1,0
11237-95,0.5,1995,0,1,0,1,2
11248-21,0.5,1995,0,0,1,1,0
11251-81,0.3333333333333333,1995,0,1,0,1,2
11261-71,1,1995,0,0,1,0,0
11262-88,0.5,1995,0,0,0,0,0
11263-42,1,1995,0,0,0,0,1
11265-13,0.3333333333333333,1995,0,1,0,1,2
11283-94,1,1995,0,1,1,1,0
11295-73,0.2222222222222222,1995,0,0,1,1,2
11295-91,0.5555555555555556,1995,0,1,1,1,1
11300-14,1,1995,0,1,0,1,0
11308-51,0.5,1995,0,0,0,1,2
11317-42,0.5,1995,0,1,0,1,1
11318-77,0.625,1995,0,0,1,0,1
11326-33,0.28,1995,0,1,0,1,2
11327-41,1,1995,0,1,0,1,0
11333-26,1,1995,0,1,0,1,0
11338-12,1,1995,0,0,1,0,0
11340-01,1,1995,0,1,0,1,0
179240-41,1,1995,0,0,0,0,1
25197-58,1,1995,0,0,0,1,0
40849-84,1,1995,0,1,0,1,1
42205-24,1,1995,0,1,1,1,0
42205-42,1,1995,0,1,1,1,0
42349-87,1,1995,0,1,0,1,0
42767-20,1,1995,0,1,0,1,0
42871-51,1,1995,0,0,1,0,1
51090-58,1,1995,0,0,1,0,1
51410-17,1,1995,0,NA,NA,NA,0
51638-05,1,1995,0,1,0,1,0
51747-13,1,1995,0,0,0,0,2
53402-68,1,1995,0,1,0,1,0
55430-29,1,1995,0,1,1,1,0
64689-67,1,1995,0,0,0,0,0
10020-07,1,1996,0,1,0,0,0
10070-83,0.1111111111111111,1996,8.40489745378449,0,0,1,2
10134-73,0.3333333333333333,1996,0,1,0,1,0
10135-81,1,1996,0,0,1,0,0
10139-41,0.34375,1996,8.40489745378449,0,1,1,2
10146-16,1,1996,0,0,1,1,0
