Investor_Id,niche_width,year
11122-12,0.5714285714285714,1992
11153-98,1,1992
11228-50,1,1992
10134-73,0,1992
10181-17,0,1992
10367-47,0,1992
11120-59,0,1992
11184-49,0,1992
11211-40,0,1992
11251-81,0,1992
11262-88,0,1992
11275-75,0,1992
51280-03,0,1992
51669-64,0,1992
56255-86,0,1992
57314-80,0,1992
58910-86,0,1992
63967-15,0,1992
85493-26,0,1992
11122-12,0.4137717121588089,1993
11153-98,0.2222222222222221,1993
11184-49,1,1993
11211-40,0.3717277486910995,1993
11228-50,0.3653921955065037,1993
11251-81,1,1993
11295-73,0.41747572815533973,1993
11326-33,1,1993
57314-80,1,1993
63967-15,1,1993
10134-73,0,1993
10181-17,0,1993
10367-47,0,1993
107903-44,0,1993
11111-86,0,1993
11115-19,0,1993
11115-28,0,1993
11120-59,0,1993
11162-08,0,1993
11173-60,0,1993
11174-14,0,1993
11179-99,0,1993
11191-96,0,1993
11192-68,0,1993
11193-13,0,1993
11207-89,0,1993
11237-95,0,1993
11262-88,0,1993
11265-13,0,1993
11275-75,0,1993
11302-39,0,1993
11304-28,0,1993
11308-51,0,1993
11336-05,0,1993
40668-76,0,1993
44459-02,0,1993
51077-44,0,1993
51280-03,0,1993
51669-64,0,1993
51702-67,0,1993
51747-13,0,1993
52166-62,0,1993
56255-86,0,1993
58910-86,0,1993
85493-26,0,1993
10070-83,0.4789081885856079,1994
10139-41,0.5555555555555556,1994
10181-17,1,1994
11115-28,0.3999999999999999,1994
11120-59,0.43050847457627117,1994
11121-85,1,1994
11122-12,0.34129569308722396,1994
11153-98,0.2752613240418118,1994
11173-60,0.631578947368421,1994
11184-49,1,1994
11191-96,0.42028985507246375,1994
11193-13,1,1994
11211-40,0.3615257048092869,1994
11219-23,1,1994
11228-50,0.35479243967094487,1994
11251-81,0.5102040816326532,1994
11295-73,0.36342592592592593,1994
11304-28,1,1994
11308-51,0.6666666666666667,1994
11325-43,1,1994
11326-33,0.42177722152690866,1994
11335-42,1,1994
57314-80,0.4736842105263158,1994
63967-15,1,1994
10052-20,0,1994
10077-85,0,1994
10134-73,0,1994
10195-75,0,1994
10367-47,0,1994
107903-44,0,1994
10985-23,0,1994
11111-86,0,1994
