Investor_Id,hhi,year,status,first,IT,early,age,niche_width,mean_first,mean_early,mean_IT,mean_age,mean_status
100016-92,1,2013,0,0,0,1,0,0,0,1,0,0,0
100016-92,0.3333333333333333,2014,0,0,0,1,1,0.15973067622175885,0,1,0,0.5,0
100016-92,0.3600000000000001,2016,0,0,0,1,3,0.10449859418931584,0,1,0,1.3333333333333333,0
100016-92,0.375,2017,0.7938841306521222,0,0,1,4,0.06700537075552372,0,1,0,2,0.19847103266303054
100035-19,1,2009,0,0,0,1,0,0.13610369878229134,0,1,0,0,0
100035-19,0.5,2010,0,0,0,1,1,0.10486916531477143,0,1,0,0.5,0
100035-19,0.25,2013,0,0,0,1,4,0.1572388543993013,0,1,0,1.6666666666666667,0
100035-19,0.22222222222222227,2014,0,0,0,1,5,0.16395498015408594,0,1,0,2.5,0
100035-19,0.18367346938775508,2015,0,0,0,1,6,0.16840752336132925,0,1,0,3.2,0
100035-19,0.1875,2016,0,0,0,1,7,0.15590324290662905,0,1,0,3.8333333333333335,0
100050-76,1,2015,0,NA,NA,NA,0,0,NA,NA,NA,0,0
100104-13,1,2014,0,0,0,0,0,0,0,0,0,0,0
100105-93,1,2013,0,0,0,0,0,0.15517679212628277,0,0,0,0,0
100105-93,0.5,2014,0,0,0,0,1,0.11830357486194155,0,0,0,0.5,0
100105-93,0.375,2015,4.084583941993416,0,0,0,2,0.09564978699464033,0,0,0,1,1.361527980664472
100105-93,0.2222222222222222,2016,-1.0319259292952456,0,0,1,3,0.09798212068835,0,0.25,0,1.5,0.7631645031745427
100143-46,1,2013,0,1,0,0,0,1,1,0,0,0,0
100143-46,0.25,2014,0,1,1,1,1,0.12463495839704652,1,0.5,0.5,0.5,0
100143-46,0.12426035502958582,2015,3.669557183304781,0,1,1,2,0.06709420622047614,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1.2231857277682603
100143-46,0.12110726643598614,2016,2.471180271331222,0,1,1,3,0.05464125428004185,0.5,0.75,0.75,1.5,1.5351843636590008
100153-81,0.5,2013,0,0,0,0,0,1,0,0,0,0,0
