date,Primary_Industry_Code,medoid
1991,Drug Discovery,10367-47
1991,Biotechnology,11251-81
1991,Electronic Components,11275-75
1991,Other Software,57314-80
1991,Education and Training Services (B2B),58910-86
1992,Telecommunications Service Providers,10134-73
1992,Biotechnology,10181-17
1992,Medical Supplies,11120-59
1992,Drug Delivery,11211-40
1992,Pharmaceuticals,11122-12
1992,Food Products,51280-03
1992,Monitoring Equipment,51669-64
1992,Aerospace and Defense,56255-86
1992,Other IT Services,85493-26
1993,Asset Management,107903-44
1993,Biotechnology,11111-86
1993,Therapeutic Devices,11115-19
1993,Drug Discovery,11115-28
1993,Automation/Workflow Software,11122-12
1993,Consulting Services (B2B),11174-14
1993,Drug Delivery,11184-49
1993,Medical Supplies,11191-96
1993,Application Software,11193-13
1993,Diagnostic Equipment,11207-89
1993,General Purpose Semiconductors,11228-50
1993,Electrical Equipment,11302-39
1993,Pharmaceuticals,11326-33
1993,Legal Services (B2B),11336-05
1993,Other Commercial Services,57314-80
1994,Wireless Service Providers,10052-20
1994,Automation/Workflow Software,10070-83
1994,Biotechnology,11137-87
1994,Internet Service Providers,11322-28
1994,Other Communications and Networking,10181-17
1994,Systems and Information Management,10077-85
1994,"Computers, Parts and Peripherals",11295-91
1994,Electrical Equipment,10195-75
1994,Other Commercial Products,10985-23
1994,Pharmaceuticals,11114-11
1994,Drug Discovery,11162-08
1994,Business/Productivity Software,11127-88
1994,Electronics (B2C),11161-36
1994,Therapeutic Devices,11293-30
1994,Consulting Services (B2B),11174-14
1994,Diagnostic Equipment,11177-20
1994,Application Software,11281-06
1994,General Purpose Semiconductors,42871-51
1994,Medical Supplies,11237-14
1994,Multi-line Insurance,11256-40
1994,Other Healthcare Services,11326-33
1994,BPO/Outsource Services,11331-91
1994,Telecommunications Service Providers,25383-79
1994,Industrial Supplies and Parts,54858-79
1994,Distributors/Wholesale,57314-80
1994,Printing Services (B2B),57314-80
1995,"Broadcasting, Radio and Television",10022-14
1995,Electrical Equipment,10052-20
1995,Beverages,25197-58
1995,Discovery Tools (Healthcare),42767-20
1995,Drug Discovery,11115-28
1995,Pharmaceuticals,11111-68
1995,Hospitals/Inpatient Services,10134-73
1995,Application Software,10135-81
1995,"Computers, Parts and Peripherals",10139-41
1995,Decision/Risk Analysis,11181-43
1995,Other Hardware,11122-48
1995,Other Communications and Networking,11124-28
1995,Other Software,11127-25
1995,General Purpose Semiconductors,11135-62
1995,Social/Platform Software,11135-71
1995,Systems and Information Management,11142-19
1995,Wireless Service Providers,11142-73
1995,Energy Transportation,11150-29
1995,Enterprise Systems (Healthcare),11168-92
1995,Thrifts and Mortgage Finance,11172-43
1995,Therapeutic Devices,11177-11
1995,Holding Companies,11184-40
1995,Media and Information Services (B2B),11198-62
1995,Medical Supplies,11262-88
1995,Communication Software,11237-14
1995,Diagnostic Equipment,11262-52
1995,Publishing,11295-73
1995,Educational and Training Services (B2C),11304-28
1995,Machinery (B2B),11327-41
1995,Biotechnology,11337-76
1995,Industrial Chemicals,49309-12
1995,Iron and Steel Mining,51599-53
1995,Other Containers and Packaging,55502-65
1995,Food Products,55763-56
1996,Biotechnology,10020-07
1996,Vertical Market Software,10052-20
1996,Drug Discovery,11115-28
1996,Elder and Disabled Care,11153-98
1996,Restaurants and Bars,11296-45
1996,Business/Productivity Software,11132-38
1996,Communication Software,11165-68
1996,Internet Service Providers,11313-01
1996,Network Management Software,10134-73
1996,Application Software,11148-04
1996,"Computers, Parts and Peripherals",43064-47
1996,Other Software,11290-78
1996,Fiberoptic Equipment,10195-75
1996,Security Services (B2B),10242-91
1996,Media and Information Services (B2B),11160-10
1996,Pharmaceuticals,11114-11
1996,Diagnostic Equipment,108183-97
1996,Industrial Supplies and Parts,11104-21
1996,Database Software,11105-29
1996,Software Development Applications,11159-74
1996,Entertainment Software,11110-15
1996,Other Consumer Durables,11110-87
1996,Electronic Components,11123-20
1996,Discovery Tools (Healthcare),11136-61
