Investor_Id,co_investors_status_power_raw,year
10367-47,NA,1991
11153-98,NA,1991
11184-49,NA,1991
11251-81,NA,1991
11262-88,NA,1991
11275-75,NA,1991
63967-15,NA,1991
10367-47,NA,1992
11120-59,NA,1992
11122-12,NA,1992
11153-98,NA,1992
11184-49,NA,1992
11211-40,NA,1992
11228-50,NA,1992
11251-81,NA,1992
11262-88,NA,1992
11275-75,NA,1992
63967-15,NA,1992
10367-47,0,1993
11111-86,0,1993
11115-19,0,1993
11115-28,0,1993
11120-59,0,1993
11122-12,0,1993
11153-98,0,1993
11162-08,0,1993
11173-60,0,1993
11179-99,0,1993
11184-49,0,1993
11191-96,0,1993
11192-68,0,1993
11207-89,0,1993
11211-40,0,1993
11228-50,0.8159484126343631,1993
11237-95,0,1993
11251-81,0,1993
11262-88,0,1993
11265-13,0,1993
11275-75,0,1993
11295-73,0,1993
11304-28,5.5076517852819515,1993
11308-51,0,1993
11326-33,0,1993
40668-76,0,1993
44459-02,0,1993
51077-44,0,1993
51702-67,0,1993
51747-13,0,1993
63967-15,0,1993
10052-20,4.250521732065617,1994
10070-83,5.3131521650820215,1994
10139-41,5.3131521650820215,1994
10181-17,0,1994
10367-47,0,1994
11111-86,0,1994
11114-11,0,1994
11115-19,0,1994
11115-28,0,1994
11120-59,0,1994
11121-85,0,1994
11122-12,0,1994
11124-28,0,1994
11127-88,0,1994
11137-87,0,1994
11139-04,0,1994
11151-91,0,1994
11153-98,0,1994
11161-36,0,1994
11162-08,0,1994
11169-91,0,1994
11173-60,0,1994
11177-20,0,1994
11179-99,0,1994
11184-49,0,1994
11184-67,0,1994
11190-70,0,1994
11191-96,0,1994
11192-68,0,1994
11193-13,0,1994
11194-12,0,1994
11207-89,0,1994
11211-40,0,1994
11219-23,0,1994
11228-50,0.26565760825410106,1994
11237-95,0,1994
11251-81,0,1994
11258-83,0,1994
11262-52,0,1994
11262-88,0,1994
11263-42,0,1994
11263-51,0,1994
11265-13,0,1994
11275-75,0,1994
11277-37,0,1994
11281-06,0,1994
11291-32,0,1994
11295-73,0,1994
11295-91,0,1994
11303-56,0,1994
11304-28,2.3245040722233843,1994
11308-51,0,1994
11317-42,0,1994
11318-77,0,1994
11322-28,-0,1994
11325-43,0,1994
11326-33,0,1994
11335-42,0,1994
179240-41,0,1994
40668-76,0,1994
40849-84,0,1994
41699-53,0,1994
42259-87,0,1994
42871-51,0,1994
44459-02,0,1994
51050-17,0,1994
51077-44,0,1994
51090-58,0,1994
51131-71,0,1994
51516-10,0,1994
51702-67,0,1994
